Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
55,142,94.52222222,46,3.768611704,22.40234375,0.846855432,456.4550781,Sedentary,1,0
74,126,97.90925926,-13,3.005628989,21.75195312,0.571986607,308.3007812,Sedentary,1,0
66,130,89.84672897,16,5.993472047,20.8515625,2.532301682,1349.716797,Sedentary,1,0
47,155,108.7179963,-8,4.262728696,23.28125,1.21143942,650.5429687,Sedentary,1,0
72,130,99.00338983,39,1.150151872,14.015625,0.095184949,27.984375,Sedentary,1,0
52,108,78.0583501,-27,1.617644556,15.18554687,0.19302399,95.54687496,Sedentary,1,0
74,107,87.39047619,8,3.296252232,16.93554687,0.73431866,76.36914061,Sedentary,1,0
55,108,72.08550186,-20,2.460846452,18.8125,0.422939016,226.6953125,Sedentary,1,0
60,133,91.50295858,29,2.607979211,21.8671875,0.422812963,213.9433593,Sedentary,1,0
55,129,82.25438596,-21,3.15475448,20.78515625,0.761835869,431.9609375,Sedentary,1,0
61,128,81.83693517,-18,1.163001363,17.75390625,0.086330436,43.76953125,Sedentary,1,0
58,133,83.8372549,45,3.200388785,18.75,0.794541994,404.4218749,Sedentary,1,0
56,149,84.76491228,-31,3.793826721,31.4296875,0.887621512,505.0566406,Sedentary,1,0
52,143,92.43076923,60,2.235194289,17.16210937,0.401985893,182.0996093,Sedentary,1,0
58,144,94.75247525,-23,3.663858887,18.8125,1.005412391,404.1757812,Sedentary,1,0
58,176,89.38518519,-96,9.186673148,33.328125,3.638791454,1961.308594,Sedentary,1,0
52,100,66.36229205,1,2.475224222,19.98828125,0.38957053,209.9785156,Sedentary,1,0
45,105,63.28148148,11,3.519062568,20.5859375,0.889416095,478.5058593,Sedentary,1,0
58,117,80.92962963,-3,4.325426485,23.359375,1.369604447,738.2167968,Sedentary,1,0
59,147,99.16481481,-21,11.63776514,33.1171875,15.65837012,8424.203124,Sedentary,1,0
54,115,76.77962963,-52,3.939210373,21.7265625,1.067989767,575.6464843,Sedentary,1,0
55,179,89.3100189,-14,5.220591082,20.65234375,2.166933002,1144.140625,Sedentary,1,0
58,126,85.43956044,-4,5.823110163,22.21875,2.493074305,1356.232422,Sedentary,1,0
48,144,89.75,17,5.028978848,20.84960937,2.002898886,1079.5625,Sedentary,1,0
55,137,89.71903882,40,5.994949716,20.5078125,2.681843547,1445.513672,Sedentary,1,0
48,112,73.02226345,39,4.186233738,28.125,1.119049866,602.0488281,Sedentary,1,0
44,92,68.56910569,1,4.434234832,20.453125,1.579131396,775.3535155,Sedentary,1,0
